Sample #,Sampled At,Sampled From,Declared Common Name,Species Declared on the Label,State of Origin,Sample Assessment,Year,isMislabeled
2019FCP-0000024391-152,Imports - Importation,NB,SOLE,Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-153,Imports - Importation,NB,TUNA,Not Declared - Non déclarée,Vietnam,S,2019,0
2019FCP-0000024391-154,Domestic - Domestique,NB,HALIBUT,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-155,Retail - Vente au détail,QC,SOLE,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-156,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-157,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-158,Retail - Vente au détail,QC,SOLE,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-159,Retail - Vente au détail,QC,"TUNA, YELLOWFIN",THUNNUS ALBACARES,Canada,S,2019,0
2019FCP-0000024391-160,Retail - Vente au détail,QC,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-161,Retail - Vente au détail,QC,"TUNA, YELLOWFIN",THUNNUS ALBACARES,Canada,S,2019,0
2019FCP-0000024391-162,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-163,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-164,Retail - Vente au détail,QC,"SOLE, PACIFIC DOVER",MICROSTOMUS PACIFICUS,Canada,S,2019,0
2019FCP-0000024391-165,Retail - Vente au détail,QC,"SOLE, PACIFIC DOVER",MICROSTOMUS PACIFICUS,Canada,S,2019,0
2019FCP-0000024391-166,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-167,Imports - Importation,NS,COD,Not Declared - Non déclarée,United States,S,2019,0
2019FCP-0000024391-168,Imports - Importation,NS,COD,Not Declared - Non déclarée,United States,S,2019,0
2019FCP-0000024391-169,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-170,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-171,Retail - Vente au détail,QC,"SOLE, FLATHEAD",HIPPOGLOSSOIDES ELASSODON,Canada,ND-AD,2019,0
2019FCP-0000024391-172,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-173,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-174,Retail - Vente au détail,QC,"FLOUNDER, YELLOWTAIL",LIMANDA FERRUGINEA,Canada,S,2019,0
2019FCP-0000024391-175,Imports - Importation,BC,"HALIBUT, PACIFIC",HIPPOGLOSSUS STENOLEPSIS,United States,S,2019,0
2019FCP-0000024391-176,Retail - Vente au détail,NB,HADDOCK,MELANOGRAMMUS AEGLEFINUS,Canada,S,2019,0
2019FCP-0000024391-177,Retail - Vente au détail,Qc,"SOLE, FLATHEAD",HIPPOGLOSSOIDES ELASSODON,Canada,S,2019,0
2019FCP-0000024391-178,Retail - Vente au détail,QC,"COD, ATLANTIC",GADUS MORHUA,Canada,S,2019,0
2019FCP-0000024391-179,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-180,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,Canada,S,2019,0
2019FCP-0000024391-181,Retail - Vente au détail,NL,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-182,Retail - Vente au détail,NL,COD,Not Declared - Non déclarée,Canada,S,2019,0
